2015/04/06 00:01:15 [router.go:845] [D] | GET        | /                                        | 419.024ms        | match      | /                                        | 
2015/04/06 00:02:41 [router.go:845] [D] | GET        | /                                        | 91.0052ms        | match      | /                                        | 
2015/04/06 00:03:15 [router.go:845] [D] | GET        | /                                        | 107.0061ms       | match      | /                                        | 
2015/04/06 00:04:46 [router.go:845] [D] | GET        | /                                        | 16.001ms         | match      | /                                        | 
2015/04/06 00:14:49 [router.go:845] [D] | GET        | /                                        | 45.0026ms        | match      | /                                        | 
2015/04/06 00:15:18 [router.go:845] [D] | GET        | /                                        | 44.0025ms        | match      | /                                        | 
2015/04/06 00:16:23 [router.go:845] [D] | GET        | /                                        | 429.0245ms       | match      | /                                        | 
2015/04/06 00:16:56 [router.go:845] [D] | GET        | /                                        | 53.003ms         | match      | /                                        | 
2015/04/06 00:17:42 [router.go:845] [D] | GET        | /                                        | 31.0018ms        | match      | /                                        | 
2015/04/06 00:21:40 [router.go:845] [D] | GET        | /                                        | 274.0156ms       | match      | /                                        | 
2015/04/06 00:22:29 [router.go:845] [D] | GET        | /                                        | 576.033ms        | match      | /                                        | 
2015/04/06 00:24:49 [router.go:845] [D] | GET        | /                                        | 696.0398ms       | match      | /                                        | 
2015/04/06 00:25:13 [router.go:845] [D] | GET        | /                                        | 536.0307ms       | match      | /                                        | 
2015/04/06 00:25:25 [router.go:845] [D] | GET        | /                                        | 134.0076ms       | match      | /                                        | 
2015/04/06 00:28:30 [router.go:845] [D] | GET        | /                                        | 81.0046ms        | match      | /                                        | 
2015/04/06 00:28:54 [router.go:845] [D] | GET        | /                                        | 16.0009ms        | match      | /                                        | 
2015/04/06 00:32:22 [router.go:845] [D] | GET        | /                                        | 119.0068ms       | match      | /                                        | 
2015/04/06 00:32:44 [router.go:845] [D] | GET        | /                                        | 126.0072ms       | match      | /                                        | 
2015/04/06 00:33:31 [router.go:845] [D] | GET        | /                                        | 85.0048ms        | match      | /                                        | 
2015/04/06 00:35:38 [router.go:845] [D] | GET        | /                                        | 136.0078ms       | match      | /                                        | 
2015/04/06 00:36:59 [router.go:845] [D] | GET        | /                                        | 39.0022ms        | match      | /                                        | 
2015/04/06 00:38:32 [router.go:845] [D] | GET        | /                                        | 37.0021ms        | match      | /                                        | 
2015/04/06 00:38:48 [router.go:845] [D] | GET        | /                                        | 35.002ms         | match      | /                                        | 
2015/04/06 00:39:06 [router.go:845] [D] | GET        | /                                        | 40.0023ms        | match      | /                                        | 
2015/04/06 00:42:00 [router.go:845] [D] | GET        | /                                        | 37.0021ms        | match      | /                                        | 
2015/04/06 00:42:37 [router.go:845] [D] | GET        | /                                        | 263.015ms        | match      | /                                        | 
2015/04/06 00:47:25 [router.go:845] [D] | GET        | /                                        | 49.0028ms        | match      | /                                        | 
2015/04/06 00:48:25 [router.go:845] [D] | GET        | /                                        | 75.0043ms        | match      | /                                        | 
2015/04/06 00:57:38 [router.go:845] [D] | GET        | /                                        | 38.0021ms        | match      | /                                        | 
2015/04/06 01:01:05 [router.go:845] [D] | GET        | /                                        | 53.003ms         | match      | /                                        | 
2015/04/06 01:01:18 [router.go:845] [D] | GET        | /                                        | 28.0016ms        | match      | /                                        | 
2015/04/06 01:04:14 [router.go:845] [D] | GET        | /                                        | 16.0009ms        | match      | /                                        | 
2015/04/06 01:12:43 [router.go:845] [D] | GET        | /                                        | 112.0064ms       | match      | /                                        | 
2015/04/06 01:16:18 [router.go:845] [D] | GET        | /                                        | 83.0048ms        | match      | /                                        | 
2015/04/06 01:18:09 [router.go:845] [D] | GET        | /                                        | 97.0056ms        | match      | /                                        | 
2015/04/06 01:19:15 [router.go:845] [D] | GET        | /                                        | 174.0099ms       | match      | /                                        | 
2015/04/06 01:20:52 [router.go:845] [D] | GET        | /                                        | 106.0061ms       | match      | /                                        | 
2015/04/06 01:21:38 [router.go:845] [D] | GET        | /                                        | 84.0048ms        | match      | /                                        | 
2015/04/06 01:22:57 [router.go:845] [D] | GET        | /                                        | 41.0023ms        | match      | /                                        | 
2015/04/06 01:27:13 [router.go:845] [D] | GET        | /                                        | 157.009ms        | match      | /                                        | 
2015/04/06 01:30:40 [router.go:845] [D] | GET        | /                                        | 102.0059ms       | match      | /                                        | 
2015/04/06 01:31:18 [router.go:845] [D] | GET        | /                                        | 30.0017ms        | match      | /                                        | 
2015/04/06 01:37:59 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 01:37:59 [app.go:96] [I] http server Running on :8080
2015/04/06 01:38:03 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 01:38:03 [app.go:96] [I] http server Running on :8080
2015/04/06 01:38:43 [log.go:108] [D] Loading language: en-US 
2015/04/06 01:38:43 [log.go:108] [D] Loading language: zh-CN 
2015/04/06 01:38:43 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 01:38:43 [app.go:96] [I] http server Running on :8080
2015/04/06 01:38:50 [log.go:108] [D] Loading language: en-US 
2015/04/06 01:38:50 [log.go:108] [D] Loading language: zh-CN 
2015/04/06 01:38:50 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 01:38:50 [app.go:96] [I] http server Running on :8080
2015/04/06 01:39:15 [log.go:108] [D] Loading language: en-US 
2015/04/06 01:39:15 [log.go:108] [D] Loading language: zh-CN 
2015/04/06 01:39:15 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 01:39:15 [app.go:96] [I] http server Running on :8080
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /brandshow                               | 151.0087ms       | match      | /brandshow                               | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 37.0021ms        | notmatch   | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 48.0027ms        | notmatch   | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 50.0028ms        | notmatch   | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 0                | notmatch   | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 13.0007ms        | notmatch   | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 34.002ms         | notmatch   | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:39:32 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /brandshow                               | 15.0008ms        | match      | /brandshow                               | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 52.003ms         | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 0                | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 14.0008ms        | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 145.0083ms       | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 147.0084ms       | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 150.0086ms       | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 152.0087ms       | notmatch   | 
2015/04/06 01:43:15 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 155.0088ms       | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /brandshow                               | 46.0027ms        | match      | /brandshow                               | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 6.0003ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 7.0004ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 3.0001ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 11.0006ms        | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 6.0004ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 58.0033ms        | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 12.0006ms        | notmatch   | 
2015/04/06 01:43:56 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 33.0019ms        | notmatch   | 
2015/04/06 01:43:57 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 1.0001ms         | notmatch   | 
2015/04/06 01:43:57 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 17.001ms         | notmatch   | 
2015/04/06 01:43:57 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 29.0017ms        | notmatch   | 
2015/04/06 01:43:57 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 32.0019ms        | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /brandshow                               | 36.0021ms        | match      | /brandshow                               | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 14.0008ms        | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/1/logo.png                    | 66.0038ms        | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/4/logo.png                    | 78.0045ms        | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 80.0046ms        | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 131.0075ms       | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/8/logo.png                    | 133.0076ms       | notmatch   | 
2015/04/06 01:43:59 [router.go:845] [D] | GET        | /img/brand/5/logo.png                    | 135.0077ms       | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /brandshow                               | 47.0027ms        | match      | /brandshow                               | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/3/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/6/logo.png                    | 2.0001ms         | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/7/logo.png                    | 1ms              | notmatch   | 
2015/04/06 01:44:10 [router.go:845] [D] | GET        | /img/brand/2/logo.png                    | 1ms              | notmatch   | 
